,nearest_tumour_dist,tumour_count_r150,tumour_frac_knn_20,PDCD1,LAG3,HAVCR2,CTLA4,CD47,THBS1,target,patients,treatment_clean
SMI_T10_F001_c1254,17.88588203024971,18.0,0.65,2.0,1.0,0.0,0.0,1.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c2722,39.32377397961705,20.0,0.75,0.0,1.0,1.0,0.0,1.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c2753,39.30348203403877,18.0,0.7,0.0,1.0,1.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c3690,22.150081263958917,18.0,0.75,1.0,0.0,1.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c515,43.13342556533178,17.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c5201,27.671344383675923,20.0,0.7,0.0,0.0,0.0,2.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c6382,14.733923442179297,22.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c1035,33.151530884711875,13.0,0.55,1.0,0.0,0.0,2.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c183,37.17440176909338,19.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c1910,38.218249423541195,19.0,0.95,0.0,0.0,1.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c2986,29.070233917187828,19.0,0.65,0.0,0.0,1.0,1.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c3492,43.55176804677401,17.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c3654,27.05386663676757,14.0,0.55,1.0,1.0,0.0,0.0,1.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c3712,41.43929656738851,19.0,0.7,2.0,0.0,1.0,1.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c6616,131.78213080687385,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c6771,15.7607423683026,10.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c780,24.162489710292448,17.0,0.75,0.0,0.0,0.0,0.0,0.0,1.0,Active,HGSC1,Untreated
SMI_T10_F001_c1055,26.204137077949632,20.0,0.85,0.0,0.0,1.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c1293,33.21103244405389,24.0,0.85,1.0,1.0,1.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c1786,34.58308401516553,16.0,0.45,0.0,1.0,3.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c1946,394.5112964681748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Active,HGSC1,Untreated
SMI_T10_F001_c2589,32.773826447333924,12.0,0.45,0.0,0.0,0.0,1.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c2999,44.40523505173702,16.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c4990,70.46310027241206,11.0,0.9,0.0,0.0,0.0,0.0,1.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c6723,43.880105970701614,11.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c6870,35.806470085726005,11.0,0.3,0.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c885,56.38213591200694,13.0,0.55,0.0,0.0,0.0,0.0,1.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c1828,26.044907851631958,20.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c3527,39.45456247381281,17.0,0.55,1.0,0.0,0.0,0.0,2.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c4988,39.89293797152546,21.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c1735,22.11153520224259,12.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c2585,121.71386814985378,2.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c5098,26.691019088824188,20.0,0.85,0.0,1.0,1.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c6599,53.59800835852017,8.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c665,45.56817596744462,11.0,0.45,0.0,0.0,1.0,0.0,1.0,1.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c7813,61.31157557916763,12.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c1920,52.78914664966644,9.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c2894,85.84386116665566,2.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c6670,40.151881649556564,12.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c3009,121.05930447512067,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c5331,36.933697350793295,14.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c6499,11.134455532265754,17.0,0.65,0.0,0.0,0.0,0.0,0.0,1.0,Active,HGSC1,Untreated
SMI_T10_F001_c1596,71.47645097512901,12.0,0.45,1.0,0.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c5944,43.06638712499566,17.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c4109,27.55822926096679,31.0,0.9,1.0,1.0,0.0,0.0,1.0,1.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c576,9.763856871134532,16.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c983,145.73899409560929,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c3769,61.14183674048401,16.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c6353,52.75942475046509,21.0,0.65,0.0,0.0,0.0,2.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c6567,102.45939146803472,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c6785,15.752714051871422,20.0,0.85,1.0,0.0,0.0,1.0,1.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c2787,106.87308735130661,3.0,0.05,0.0,1.0,0.0,0.0,1.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c329,33.03921209714278,15.0,0.9,0.0,1.0,3.0,0.0,0.0,1.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c3524,34.38355420837144,16.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c4844,120.15741217253317,3.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c6716,111.43953786695279,4.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c4835,56.82341242832939,20.0,0.85,0.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c978,50.65722653284515,12.0,0.4,0.0,1.0,0.0,2.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c1999,50.56447991426414,14.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c6692,44.92169297789235,14.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c2036,21.384527116586106,3.0,0.15,0.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c3716,8.881176723835628,20.0,0.75,1.0,1.0,1.0,4.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c4304,53.50695095032005,15.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c5219,44.06232858122654,20.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c6626,44.97276731534312,15.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c3815,43.53320571701578,16.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,Active,HGSC1,Untreated
SMI_T10_F001_c1826,53.38365540125588,17.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c2507,51.632575957432216,18.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c3994,25.10578618565865,16.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c1110,42.496782231128776,16.0,0.6,0.0,0.0,0.0,0.0,2.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c1815,24.706216323023042,21.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c2059,53.27607745508313,6.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c2163,13.440324438048435,12.0,0.55,0.0,0.0,2.0,0.0,0.0,1.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c2701,34.94325972201221,16.0,0.9,0.0,2.0,1.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c4032,8.420718496660779,27.0,0.95,0.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c478,32.93158660010181,16.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c1051,51.74425592275897,11.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c1376,28.978414742701084,28.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c3373,36.25927329663407,16.0,0.65,0.0,0.0,1.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c5207,16.66766030371399,18.0,0.55,2.0,0.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c1628,36.174172886190185,20.0,0.9,0.0,0.0,1.0,0.0,2.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c6721,101.30631964492623,4.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c1006,22.877209095516765,17.0,0.8,0.0,2.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c2494,39.09218464092305,15.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c7585,10.196038446377038,22.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c7142,52.08677855271909,14.0,0.8,0.0,0.0,0.0,1.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c6637,68.49511296435712,13.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c6826,71.10385713869543,14.0,0.4,1.0,0.0,1.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c6638,97.69004299313188,5.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c3609,126.72460297826949,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c3051,57.22440912757446,10.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC1,Untreated
SMI_T10_F001_c3930,14.171989980239172,17.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F001_c4283,50.153648920093644,17.0,0.55,0.0,0.0,0.0,4.0,0.0,0.0,Exhausted,HGSC1,Untreated
SMI_T10_F002_c217,43.52496754737461,20.0,0.8,0.0,2.0,0.0,0.0,1.0,0.0,Exhausted,HGSC7,Untreated
SMI_T10_F002_c3081,30.627072991064452,31.0,0.95,1.0,0.0,0.0,0.0,1.0,0.0,Exhausted,HGSC7,Untreated
SMI_T10_F002_c3782,20.737311783353043,30.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC7,Untreated
SMI_T10_F002_c536,35.309096051867215,15.0,0.5,2.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC7,Untreated
SMI_T10_F002_c6434,78.86206946308226,16.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,Exhausted,HGSC7,Untreated
SMI_T10_F002_c7828,46.63903193678022,26.0,0.8,0.0,2.0,0.0,1.0,1.0,0.0,Exhausted,HGSC7,Untreated
SMI_T10_F002_c7966,56.58010692814212,24.0,0.6,1.0,0.0,0.0,0.0,4.0,0.0,Exhausted,HGSC7,Untreated
SMI_T10_F002_c8431,24.742014873489907,35.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,Exhausted,HGSC7,Untreated
SMI_T10_F002_c9192,25.267025942916206,23.0,0.9,0.0,0.0,0.0,0.0,2.0,1.0,Active,HGSC7,Untreated
SMI_T10_F002_c1182,78.86405771959735,14.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC7,Untreated
SMI_T10_F002_c1343,16.565328249087223,25.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,Active,HGSC7,Untreated
SMI_T10_F002_c1346,45.179185129880246,21.0,0.65,0.0,1.0,0.0,0.0,0.0,0.0,Exhausted,HGSC7,Untreated
SMI_T10_F002_c1878,8.184194767965723,29.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,Active,HGSC7,Untreated
SMI_T10_F002_c2497,48.0958459744703,23.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,Active,HGSC7,Untreated
